id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,SIMPLE,c,NULL,ALL,idx_customers_customer_id,NULL,NULL,NULL,98906,10.00,"Using where; Using temporary; Using filesort"
1,SIMPLE,o,NULL,ref,"idx_orders_order_id,idx_orders_customer_id",idx_orders_customer_id,203,brazilian_ecommerce_test_db.c.customer_id,1,100.00,"Using where"
1,SIMPLE,oi,NULL,ref,"idx_order_items_order_id,idx_order_items_product_id",idx_order_items_order_id,203,brazilian_ecommerce_test_db.o.order_id,1,100.00,"Using where"
1,SIMPLE,p,NULL,ref,idx_products_product_id,idx_products_product_id,203,brazilian_ecommerce_test_db.oi.product_id,1,100.00,NULL
